architecture,task_id,task_revision,model_id,condition_id,outcome,k,n,successes,meets_k_of_n,observed_rate,wilson_ci_lower,wilson_ci_upper
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,reachability,3,10,10,True,1.0,0.7224672001371107,0.9999999999999999
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,reachability,4,10,10,True,1.0,0.7224672001371107,0.9999999999999999
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,reachability,5,10,10,True,1.0,0.7224672001371107,0.9999999999999999
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,reachability,6,10,10,True,1.0,0.7224672001371107,0.9999999999999999
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,reachability,7,10,10,True,1.0,0.7224672001371107,0.9999999999999999
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,reachability,8,10,10,True,1.0,0.7224672001371107,0.9999999999999999
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,reachability,9,10,10,True,1.0,0.7224672001371107,0.9999999999999999
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,reachability,10,10,10,True,1.0,0.7224672001371107,0.9999999999999999
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,task_success,1,10,10,True,1.0,0.7224672001371107,0.9999999999999999
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,task_success,2,10,10,True,1.0,0.7224672001371107,0.9999999999999999
